activity,adult_participation_rate_pct,adult_participants_est,child_participation_rate_pct,child_participants_est,total_participants_est_2025,derived_total_participation_rate_pct,adult_participants_2024_est,child_participants_2024_est,total_participants_2024_est,total_participants_change_est,total_participants_change_pct,adult_rank_2025,child_rank_2025,total_rank_2025,is_team_sport,is_selected_comparison,source_file,source_notes
Yoga,5.072,1148005,0.268,12926,1160930,4.228,1105406,12560,1117966,42965,3.84,9,39,11,no,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Golf,4.563,1032838,0.549,26494,1059332,3.858,1039959,38126,1078085,-18753,-1.74,11,28,12,no,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Australian football,2.417,547129,5.879,283683,830812,3.026,579204,280286,859490,-28677,-3.34,14,5,13,yes,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Cricket,2.492,563967,3.382,163181,727147,2.648,536834,158314,695148,32000,4.6,13,9,14,yes,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Netball,2.107,476973,4.96,239315,716288,2.608,466094,224645,690739,25549,3.7,15,7,15,yes,yes,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Dancing (recreational),1.629,368719,5.666,273409,642128,2.338,394583,262068,656652,-14524,-2.21,18,6,16,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Gymnastics,0.54,122131,6.973,336432,458563,1.67,123656,328573,452230,6333,1.4,41,4,17,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Badminton,1.886,426925,0.61,29427,456352,1.662,410169,40204,450372,5980,1.33,16,27,18,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
"Athletics, track and field",1.318,298311,3.25,156813,455124,1.657,335073,152958,488031,-32906,-6.74,20,10,19,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Table tennis,1.79,405253,0.453,21843,427096,1.555,363890,19785,383676,43420,11.32,17,31,20,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
DanceSport,1.123,254166,3.007,145071,399237,1.454,232336,122799,355134,44103,12.42,23,12,21,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Surfing,1.385,313396,0.446,21501,334897,1.22,306743,22220,328963,5934,1.8,19,32,22,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Volleyball (indoor and outdoor),1.307,295849,0.712,34366,330216,1.203,316502,34302,350804,-20588,-5.87,22,23,23,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Pickleball/padel,1.314,297347,0.084,4031,301378,1.098,155028,547,155575,145803,93.72,21,72,24,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Rugby league,0.763,172717,1.72,82972,255690,0.931,165722,78008,243730,11960,4.91,33,15,25,yes,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Fishing (recreational),1.07,242244,0.207,9990,252233,0.919,268655,8620,277275,-25042,-9.03,24,43,26,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Canoeing/Kayaking,0.997,225560,0.134,6459,232019,0.845,213833,9237,223069,8950,4.01,25,60,27,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Motor cycling,0.947,214266,0.355,17146,231411,0.843,242996,27341,270337,-38926,-14.4,28,36,28,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Virtual based physical activity,0.95,214994,0.326,15732,230726,0.84,228725,22092,250817,-20090,-8.01,27,37,29,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Weight lifting,0.982,222350,0.013,633,222983,0.812,321500,544,322044,-99061,-30.76,26,108,30,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Touch football,0.712,161056,1.176,56742,217798,0.793,170423,43981,214404,3394,1.58,35,18,31,yes,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Boxing,0.848,191913,0.371,17890,209803,0.764,198303,16066,214370,-4567,-2.13,29,34,32,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Underwater sports,0.836,189194,0.046,2227,191421,0.697,179337,5499,184836,6584,3.56,30,83,33,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Ski & snowboard,0.812,183709,0.157,7583,191292,0.697,184321,10762,195083,-3792,-1.94,32,53,34,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Bowls,0.834,188846,0.012,601,189447,0.69,196350,1770,198120,-8673,-4.38,31,110,35,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Martial arts,0.626,141611,0.93,44896,186507,0.679,150473,26768,177241,9266,5.23,38,21,36,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Mountain biking,0.726,164226,0.176,8496,172722,0.629,131486,9780,141267,31456,22.27,34,47,37,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Hockey,0.512,115928,1.098,52987,168914,0.615,99547,35984,135531,33383,24.63,42,20,38,yes,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Crossfit/Functional fitness,0.648,146573,0.156,7538,154111,0.561,126816,4800,131616,22495,17.09,36,54,39,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Tenpin bowling,0.629,142358,0.143,6920,149278,0.544,140800,5728,146529,2749,1.88,37,57,40,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Rowing,0.585,132416,0.1,4828,137243,0.5,135638,6103,141741,-4498,-3.17,39,63,41,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Karate,0.186,42201,1.859,89707,131909,0.48,51454,90448,141902,-9993,-7.04,61,14,42,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Sport climbing,0.542,122749,0.156,7528,130277,0.474,95378,5333,100711,29566,29.36,40,55,43,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Rugby union,0.374,84648,0.686,33123,117771,0.429,73664,36302,109965,7805,7.1,47,25,44,yes,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Skate,0.396,89533,0.521,25125,114659,0.418,104968,19934,124902,-10243,-8.2,45,29,45,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Rock climbing/Abseiling/Caving,0.457,103540,0.138,6679,110218,0.401,96605,10567,107172,3046,2.84,43,58,46,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Equestrian,0.442,99949,0.174,8404,108352,0.395,98342,18188,116530,-8178,-7.02,44,48,47,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Baseball,0.309,70050,0.477,23008,93059,0.339,84749,32723,117472,-24413,-20.78,50,30,48,yes,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Calisthenics,0.359,81353,0.17,8210,89563,0.326,53223,8331,61554,28010,45.5,48,49,49,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Squash,0.39,88312,0.025,1199,89511,0.326,102377,3849,106226,-16714,-15.73,46,92,50,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Sailing,0.327,74016,0.094,4555,78571,0.286,75040,4949,79989,-1418,-1.77,49,67,51,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Jujitsu,0.17,38590,0.663,31992,70582,0.257,44475,34168,78642,-8060,-10.25,63,26,52,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Oztag,0.223,50577,0.405,19561,70138,0.255,66743,26369,93112,-22975,-24.67,56,33,53,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Billiards/Snooker/Pool,0.304,68765,0.0,0,68765,0.25,73027,3456,76482,-7717,-10.09,51,116,54,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Taekwondo/Taekwon-do,0.115,25962,0.813,39236,65198,0.237,31642,39524,71166,-5969,-8.39,71,22,55,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Lifesaving surf,0.13,29391,0.711,34307,63698,0.232,31222,39879,71101,-7403,-10.41,70,24,56,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Motor sport,0.254,57439,0.026,1238,58677,0.214,64675,6058,70734,-12057,-17.05,52,90,57,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Rope skipping,0.248,56075,0.053,2542,58617,0.213,65010,5927,70937,-12320,-17.37,54,81,58,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Flying disc,0.249,56342,0.033,1609,57951,0.211,52667,3215,55882,2069,3.7,53,84,59,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Ice skating,0.214,48384,0.191,9239,57622,0.21,47207,11119,58326,-703,-1.21,57,45,60,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Air sports,0.224,50734,0.073,3538,54272,0.198,78863,16416,95279,-41007,-43.04,55,75,61,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
eSports,0.211,47704,0.055,2650,50354,0.183,61007,7330,68337,-17983,-26.32,58,79,62,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Paddle sports,0.209,47220,0.02,987,48207,0.176,43037,996,44033,4174,9.48,59,97,63,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Shooting/field,0.203,45996,0.022,1046,47042,0.171,38328,699,39027,8014,20.54,60,95,64,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Muay Thai,0.166,37558,0.17,8185,45742,0.167,23391,4440,27832,17911,64.35,64,51,65,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Archery,0.179,40602,0.095,4595,45197,0.165,54825,10918,65743,-20545,-31.25,62,65,66,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Softball,0.136,30818,0.201,9709,40527,0.148,28973,10049,39022,1505,3.86,68,44,67,yes,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Darts,0.162,36751,0.018,874,37626,0.137,35447,2416,37863,-238,-0.63,65,102,68,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Triathlon,0.143,32394,0.074,3593,35986,0.131,25138,2299,27437,8549,31.16,67,74,69,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Waterskiing/Wakeboarding,0.15,33982,0.02,951,34932,0.127,43820,1515,45334,-10402,-22.94,66,100,70,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Scootering,0.085,19288,0.319,15409,34697,0.126,38925,26405,65330,-30633,-46.89,77,38,71,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Water polo,0.092,20906,0.265,12782,33688,0.123,17459,6180,23639,10049,42.51,75,40,72,yes,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Shooting/range,0.136,30684,0.019,917,31601,0.115,27146,1605,28750,2851,9.92,69,101,73,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Handball,0.114,25911,0.086,4149,30060,0.109,32456,6396,38852,-8793,-22.63,72,70,74,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Mixed martial arts,0.093,20998,0.17,8202,29200,0.106,18098,6720,24818,4382,17.66,74,50,75,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Judo,0.066,15026,0.223,10768,25794,0.094,9814,3599,13412,12382,92.32,83,42,76,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Mountain climbing,0.099,22439,0.0,0,22439,0.082,26337,547,26884,-4445,-16.53,73,129,77,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Adventure racing,0.072,16342,0.095,4571,20913,0.076,52279,9596,61875,-40962,-66.2,79,66,78,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Croquet,0.088,20003,0.012,595,20598,0.075,16498,510,17008,3590,21.11,76,111,79,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Ready Steady Go Kids,0.008,1721,0.362,17480,19201,0.07,929,10435,11364,7837,68.97,123,35,80,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Dodgeball,0.077,17376,0.02,989,18365,0.067,16893,1067,17961,404,2.25,78,96,81,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
Orienteering,0.07,15854,0.028,1353,17207,0.063,10999,1993,12992,4215,32.44,80,88,82,no,no,C4S-AusPlay-By-Sport-Data-Tables-30-April-2026.xlsx,"Derived from AusPlay by-sport tables 1, 2, 6 and 7. Total values combine adult and child estimated participants. Derived total participation rate uses estimated adult and child population bases from the same AusPlay tables."
