facility_id,facility_name,lga_name,suburb,postcode,full_address,latitude,longitude,sport,court_count,surface_type,indoor_outdoor,age_of_facility,condition_of_facility,condition_score,source_file,source_sheet,source_notes
BASSCO11894,Coronet Bay Recreation reserve,Bass Coast Shire Council,Coronet Bay,3984,"39a Gellibrand Street, CORONET BAY 3984",-38.434736,145.438135,Basketball,1,Asphalt,Outdoor,11 - 25 Years,3. Average,3.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BASSCO11905,Inverloch Community Hub,Bass Coast Shire Council,Inverloch,3996,"Abeckett Street, INVERLOCH 3996",-38.633258,145.727817,Basketball,1,Wooden Gymnasium,Indoor,0 - 5 Years,5. Very Good,5.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BASSCO11898,Phillip Island leisure Centre,Bass Coast Shire Council,Cowes,3922,"10-12 Church Street, COWES 3922",-38.452373,145.24571,Basketball,1,Wooden Gymnasium,Indoor,11 - 25 Years,4. Good,4.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BASSCO11911,San Remo Recreation Reserve,Bass Coast Shire Council,San Remo,3925,"9a Hazelwood Road, SAN REMO 3925",-38.523713,145.369858,Basketball,1,Wooden Gymnasium,Indoor,26 - 50 Years,4. Good,4.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BAWBAW12084,Bellbird Park Indoor Stadium,Baw Baw Shire Council,Drouin,3818,"Settlement Road, DROUIN 3818",-38.135303,145.842993,Basketball,2,Wooden Gymnasium,Indoor,26 - 50 Years,3. Average,3.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BAWBAW12103,Bells Stadium,Baw Baw Shire Council,Rawson,3825,"Pinnacle Drive, RAWSON 3825",-37.956465,146.399734,Basketball,1,Wooden Gymnasium,Indoor,26 - 50 Years,3. Average,3.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BAWBAW12099,Neerim District recreation Centre,Baw Baw Shire Council,Neerim South,3831,"Main Neerim East Road, NEERIM SOUTH 3831",-38.016004,145.956411,Basketball,1,Wooden Gymnasium,Indoor,26 - 50 Years,3. Average,3.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BAWBAW12137,St Pauls Anglican Grammer,Baw Baw Shire Council,Warragul,3820,"Bowen Street, WARRAGUL 3820",-38.144917,145.930688,Basketball,2,,Unknown,11 - 25 Years,4. Good,4.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BAWBAW12113,Trafalgar High School,Baw Baw Shire Council,Trafalgar,3824,"School Road, TRAFALGAR 3824",-38.21363,146.158049,Basketball,1,Wooden Gymnasium,Indoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BAWBAW12130,Warragul Leisure Centre,Baw Baw Shire Council,Warragul,3820,"Burke Street, WARRAGUL 3820",-38.16645,145.927108,Basketball,2,Wooden Gymnasium,Indoor,26 - 50 Years,2. Poor,2.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BENALL11088,United Friendlies Society Reserve,Benalla Rural City Council,Benalla,3672,"Ackerly Avenue, BENALLA 3672",-36.544552,145.979059,Basketball,3,Wooden Gymnasium,Indoor,11 - 25 Years,2. Poor,2.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
GREATE8714,Bendigo Stadium,Bendigo City Council,Bendigo,3550,"134 Marong Road, BENDIGO 3550",-36.758416,144.248777,Basketball,7,,Unknown,26 - 50 Years,5. Very Good,5.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
GREATE8665,Evolution Sports & Fitness Centre,Bendigo City Council,Bendigo,3550,"Edwards Road, BENDIGO 3550",-36.777569,144.301115,Basketball,,,Unknown,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
GREATE8702,Mundy Street Stadium,Bendigo City Council,Bendigo,3550,"49 Mundy Street, BENDIGO 3550",-36.758768,144.284753,Basketball,1,,Unknown,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
GREATE8705,Peter Krenz Leisure Centre YMCA,Bendigo City Council,Eaglehawk,3556,"16-20 Napier Street, EAGLEHAWK 3556",-36.715511,144.254708,Basketball,1,,Unknown,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BOROON11001,Ashburton Pool and Recreation Centre,Boroondara City Council,Ashburton,3147,"8 Warner Avenue, ASHBURTON 3147",-37.866851,145.085201,Basketball,2,,Unknown,11 - 25 Years,4. Good,4.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BOROON11005,Balwyn Leisure Centre,Boroondara City Council,Balwyn North,3104,"230 Balwyn Road, BALWYN NORTH 3104",-37.801945,145.08444,Basketball,1,,Unknown,26 - 50 Years,2. Poor,2.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BOROON11008,Boroondara Sports Complex,Boroondara City Council,Balwyn North,3104,"Belmore Road, BALWYN NORTH 3104",-37.803522,145.087004,Basketball,3,,Unknown,6 - 10 Years,5. Very Good,5.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5605,Antwerp Drive Reserve,Brimbank City Council,Keilor Downs,3038,"12B Antwerp Drive, KEILOR DOWNS 3038",-37.722096,144.810885,Basketball,,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5606,Ardeer Community Park,Brimbank City Council,Ardeer,3022,"140 - 164 Forrest Street, ARDEER 3022",-37.782572,144.805283,Basketball,1,Concrete,Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA8328,Balmoral Park Reserve,Brimbank City Council,Derrimut,3030,"2A Lennon Parkway, DERRIMUT 3030",-37.791913,144.765845,Basketball,1,Concrete,Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5607,Biggs/William Street Reserve,Brimbank City Council,St Albans,3021,"64 Briggs Street, ST ALBANS 3021",-37.7379,144.816122,Basketball,,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA8331,Bon Thomas Reserve,Brimbank City Council,Deer Park,3023,"57A Quinn Street, DEER PARK 3023",-37.774227,144.763948,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5608,Bothwell Park,Brimbank City Council,Derrimut,3030,"22A Bothwell Green, DERRIMUT 3030",-37.791901,144.756821,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA8332,Brimbank College,Brimbank City Council,St Albans,3021,"Jamieson Street, ST ALBANS 3021",-37.740071,144.784559,Basketball,,,Unknown,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5609,Buckingham Reserve,Brimbank City Council,Sunshine West,3020,"2A Buckingham Crescent, SUNSHINE WEST 3020",-37.798441,144.829624,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5610,Calais/Delbridge Reserve,Brimbank City Council,Sydenham,3037,"87 Delbridge Drive, SYDENHAM 3037",-37.698993,144.760334,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5611,Calder Park/Community Hub Reserve,Brimbank City Council,Hillside,3037,"85 Community Hub, HILLSIDE 3037",-37.702516,144.75596,Basketball,,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5613,Calder Rise Park,Brimbank City Council,Keilor,3036,"19A Barwon Avenue, KEILOR 3036",-37.716634,144.823616,Basketball,,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5617,Caprice Court Reserve,Brimbank City Council,Keilor Downs,3038,"7 Skipton Close, KEILOR DOWNS 3038",-37.720132,144.792722,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5619,Clarke/Station Reserve,Brimbank City Council,St Albans,3021,"50A Clarke Avenue, ST ALBANS 3021",-37.745509,144.819793,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5620,Cowley Street,Brimbank City Council,Delahey,3037,"11 Egerton Way, DELAHEY 3037",-37.71463,144.769825,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5621,Cowper Avenue Reserve,Brimbank City Council,St Albans,3021,"58 Manfred Avenue, ST ALBANS 3021",-37.74243,144.821689,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5622,Cromwell Road Reserve,Brimbank City Council,Kings Park,3021,"35A Cromwell Road, KINGS PARK 3021",-37.737493,144.771001,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5623,Davitt Reserve,Brimbank City Council,Deer Park,3023,"30 - 34 Davitt Drive, DEER PARK 3023",-37.7623,144.763844,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5624,Delahey Emerald Park,Brimbank City Council,Delahey,3037,"20 Granite Way, DELAHEY 3037",-37.721634,144.765606,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA8345,Delahey Recreation Reserve,Brimbank City Council,Delahey,3037,"78 Copperfield Drive, DELAHEY 3037",-37.7164,144.7741,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA8346,Dempster Park,Brimbank City Council,Sunshine North,3020,"72A Phoenix Street, SUNSHINE NORTH 3020",-37.775225,144.837725,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5625,Driscolls Road Reserve,Brimbank City Council,Kealba,3021,"92A Driscolls Road, KEALBA 3021",-37.735051,144.826679,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5626,Duke Street Reserve,Brimbank City Council,Sunshine North,3020,"226 Duke Street, SUNSHINE NORTH 3020",-37.772136,144.849261,Basketball,,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5627,Elford Court Green,Brimbank City Council,Cairnlea,3023,"1B Brinkhill Court, CAIRNLEA 3023",-37.764639,144.793054,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5628,Evergreen Reserve,Brimbank City Council,Albanvale,3021,"13 Woodland Drive, ALBANVALE 3021",-37.745225,144.764751,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5630,Glenmaggie Drive Reserve,Brimbank City Council,St Albans,3021,"27-37 Glenmaggie Drive, ST ALBANS 3021",-37.764372,144.808707,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5631,Hammerwood Avenue Reserve,Brimbank City Council,Derrimut,3030,"51a Hammerwood Avenue, DERRIMUT 3030",-37.786098,144.770116,Basketball,1,"Half Court, Synthetic",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5632,Harefield Crescent Reserve,Brimbank City Council,Kealba,3021,"18 Harefield Crescent, KEALBA 3021",-37.737726,144.823812,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5634,International Gardens Reserve,Brimbank City Council,St Albans,3021,"24A Camdale Parade, ST ALBANS 3021",-37.731675,144.785939,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA8364,Keilor Basketball Stadium,Brimbank City Council,Keilor Park,3042,"Stadium Drive, KEILOR PARK 3042",-37.713334,144.848237,Basketball,3,,Unknown,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5636,Keilor Downs Recreation Reserve,Brimbank City Council,Keilor Downs,3038,"28 Belmont Avenue, KEILOR DOWNS 3038",-37.723767,144.797065,Basketball,,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA8368,Keilor Lodge Reserve,Brimbank City Council,Sydenham,3037,"Robertsons Road, SYDENHAM 3037",-37.688274,144.777599,Basketball,,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA5637,Keilor Park Recreation Reserve,Brimbank City Council,Keilor Park,3042,"Keilor Park Drive, KEILOR PARK 3042",-37.715205,144.848751,Basketball,1,"Concrete, Half Court",Outdoor,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA8402,Sydenham Primary School,Brimbank City Council,Sydenham,3037,"Community Hub, SYDENHAM 3037",-37.702404,144.760113,Basketball,,,Unknown,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BRIMBA8407,West Sunshine Community Centre,Brimbank City Council,Sunshine,3020,"25 Kermeen Street, SUNSHINE 3020",-37.798696,144.812193,Basketball,,,Unknown,,,,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
BULOKEBULOKE11000,Birchip Indoor Sports Stadium,Buloke Shire Council,Birchip,3483,"Campbell Street, BIRCHIP 3483",-35.984186,142.909021,Basketball,,,Unknown,,3. Average,3.0,Sport and Recreational Facilities List - Victoria.xlsx,wholeIFMD,Filtered rows where Sports Played is Basketball. Exact duplicate sport rows removed; repeated facility IDs combined into one venue record. court_count sums distinct basketball surface/court rows for a venue where court count is available.
